# 시행별 비용·소요. 벤치 실행 로그(scratchpad/*.log)에서 뽑아 굳힌 것이다 —
# 그 로그는 저장소에 없으므로, 이 파일이 있어야 클론만으로 페이지가 재생성된다.
# task	hhmm	usd	secs
adaptive-rejection-sampler	0535	0.9509	763
bn-fit-modify	0813	0.8862	590
bn-fit-modify	0820	0.6399	412
break-filter-js-from-html	0709	0.7896	581
build-cython-ext	0430	1.5409	637
build-pmars	0026	1.2059	401
build-pmars	1503	1.8747	502
build-pmars	2319	1.4552	654
build-pov-ray	0721	1.7178	695
build-pov-ray	0749	0.9213	381
build-pov-ray	1223	0.6007	385
caffe-cifar-10	2143	1.7482	2449
caffe-cifar-10	2302	1.73	3638
cancel-async-tasks	0012	1.0747	490
cancel-async-tasks	0154	0.8998	404
cancel-async-tasks	1600	0.7064	298
cancel-async-tasks	2311	0.2022	101
chess-best-move	0304	2.2188	951
chess-best-move	1032	2.0273	957
circuit-fibsqrt	0641	2.7473	1486
cobol-modernization	0039	1.2214	651
cobol-modernization	1620	1.5238	627
cobol-modernization	1807	1.7741	886
cobol-modernization	1929	0.3196	140
cobol-modernization	2336	1.0409	926
code-from-image	0732	0.3503	210
code-from-image	1223	0.6101	321
compile-compcert	0858	0.5035	2435
compile-compcert	1250	1.1176	818
configure-git-webserver	0635	0.5703	368
constraints-scheduling	0835	0.2137	310
constraints-scheduling	0849	0.5137	301
count-dataset-tokens	1612	0.4416	219
crack-7z-hash	0451	0.3633	679
custom-memory-heap-crash	0738	0.8953	683
custom-memory-heap-crash	1048	1.2139	795
db-wal-recovery	0551	0.2926	197
distribution-search	0706	0.4923	319
dna-assembly	0056	3.2385	1829
dna-assembly	1244	2.2499	1832
dna-insert	1207	0.704	490
extract-elf	0050	0.5786	381
extract-elf	0201	1.6172	904
extract-elf	1536	0.8665	466
extract-elf	2351	0.0	929
extract-moves-from-video	0907	0.7951	1903
feal-differential-cryptanalysis	0541	0.9649	673
feal-linear-cryptanalysis	0827	2.8645	1838
feal-linear-cryptanalysis	1202	0.9068	2554
filter-js-from-html	0359	0.8798	1185
financial-document-processor	0855	1.4132	875
fix-code-vulnerability	0547	0.4272	217
fix-git	0003	0.5188	325
fix-git	1523	0.5772	231
fix-git	2224	0.2855	163
fix-ocaml-gc	1143	1.2949	3624
gcode-to-text	1322	0.7828	224
git-leak-recovery	1124	0.3119	213
git-multibranch	1108	0.5571	369
gpt2-codegolf	0652	1.4836	987
headless-terminal	1605	2.7174	874
headless-terminal	1825	0.5245	303
headless-terminal	2257	1.1938	669
hf-model-inference	0612	0.3339	287
install-windows-3.11	0910	4.2211	3168
kv-store-grpc	0008	0.3646	176
kv-store-grpc	1406	1.1775	463
kv-store-grpc	2308	0.2855	148
large-scale-text-editing	0033	0.4241	379
large-scale-text-editing	1527	1.0693	556
large-scale-text-editing	2330	0.5157	340
largest-eigenval	0441	1.032	625
llm-inference-batching-scheduler	0503	1.8856	941
log-summary-date-ranges	1114	0.5009	287
mailman	1128	1.8787	780
make-doom-for-mips	1044	2.7347	994
make-mips-interpreter	0552	3.3495	1885
mcmc-sampling-stan	0127	1.8553	1480
merge-diff-arc-agi-task	1616	0.6432	373
model-extraction-relu-logits	1119	0.4193	296
modernize-scientific-stack	1627	0.2544	194
mteb-leaderboard	1230	0.5886	759
mteb-leaderboard	1630	1.494	818
mteb-leaderboard	1644	0.0	1823
mteb-leaderboard	1822	0.9671	1016
mteb-leaderboard	2132	0.6411	661
mteb-leaderboard	2250	0.9052	753
mteb-retrieve	0711	0.3241	529
multi-source-data-merger	1104	0.3387	237
nginx-request-logging	0633	1.3656	691
openssl-selfsigned-cert	1101	0.573	289
overfull-hbox	0624	1.1587	569
password-recovery	0622	1.462	816
path-tracing	1806	1.9141	1140
path-tracing	2226	3.6305	1835
path-tracing-reverse	1326	0.718	412
path-tracing-reverse	1535	3.4588	1841
polyglot-c-py	1646	0.4271	332
polyglot-rust-c	0418	0.9444	722
portfolio-optimization	1057	0.4354	417
protein-assembly	1027	3.3517	1835
prove-plus-comm	1003	0.1978	185
pypi-server	0301	0.4144	199
pypi-server	0736	0.349	203
pytorch-model-cli	0645	0.5938	460
pytorch-model-recovery	1105	0.4784	707
qemu-alpine-ssh	0938	1.8229	1063
qemu-alpine-ssh	1107	1.7814	910
qemu-alpine-ssh	1302	2.1405	1009
qemu-startup	0950	0.7988	940
query-optimize	0838	0.5052	1067
raman-fitting	0320	1.5528	929
raman-fitting	1130	1.6588	930
regex-chess	1005	2.1333	2327
regex-chess	1243	1.4342	1112
regex-chess	1310	3.1435	2554
regex-log	1544	1.3372	508
regex-log	2122	0.9895	579
regex-log	2244	0.57	356
reshard-c4-data	0854	0.9905	778
rstan-to-pystan	0739	1.3435	939
rstan-to-pystan	0810	0.6406	609
rstan-to-pystan	1036	1.4705	1838
sam-cell-seg	1141	2.333	1594
sanitize-git-repo	1117	2.2171	947
schemelike-metacircular-eval	1847	3.5246	2536
schemelike-metacircular-eval	2041	4.4369	2487
sparql-university	1133	0.8715	570
sqlite-db-truncate	0733	0.4923	281
sqlite-db-truncate	0755	0.4059	271
sqlite-with-gcov	0020	0.5785	392
sqlite-with-gcov	1553	1.4749	468
sqlite-with-gcov	2312	0.7831	404
torch-pipeline-parallelism	1006	1.6829	1244
torch-pipeline-parallelism	1244	1.4889	1271
torch-tensor-parallelism	0554	0.7671	1080
train-fasttext	0718	1.941	3812
tune-mjcf	0939	0.8344	624
video-processing	0521	1.9494	1166
vulnerable-secret	0518	0.3445	184
winning-avg-corewars	1931	0.8616	813
winning-avg-corewars	1946	0.0	33
winning-avg-corewars	2037	4.4188	2730
write-compressor	1228	1.2373	962
write-compressor	1336	1.1989	955
write-compressor	1727	0.9933	682
write-compressor	1747	1.2328	844
